# tracer: function_graph
#
#     TIME        CPU  TASK/PID         DURATION                  FUNCTION CALLS
#      |          |     |    |           |   |                     |   |   |   |
19014.957971 |    5) kworker-13086  |               |          __const_udelay() {
19014.957971 |    5) kworker-13086  |               |            delay_halt() {
19014.957971 |    5) kworker-13086  |   2.715 us    |              delay_halt_mwaitx();
19014.957974 |    5) kworker-13086  |   3.016 us    |            }
19014.957974 |    5) kworker-13086  |   3.306 us    |          }
19014.957974 |    5) kworker-13086  |               |          __const_udelay() {
19014.957974 |    5) kworker-13086  |               |            delay_halt() {
19014.957975 |    5) kworker-13086  |   2.715 us    |              delay_halt_mwaitx();
19014.957978 |    5) kworker-13086  |   3.196 us    |            }
19014.957978 |    5) kworker-13086  |   3.477 us    |          }
19014.957978 |    5) kworker-13086  |               |          __const_udelay() {
19014.957978 |    5) kworker-13086  |               |            delay_halt() {
19014.957978 |    5) kworker-13086  |   2.645 us    |              delay_halt_mwaitx();
19014.957981 |    5) kworker-13086  |   2.945 us    |            }
19014.957981 |    5) kworker-13086  |   3.226 us    |          }
19014.957981 |    5) kworker-13086  |               |          __const_udelay() {
19014.957981 |    5) kworker-13086  |               |            delay_halt() {
19014.957981 |    5) kworker-13086  |   2.635 us    |              delay_halt_mwaitx();
19014.957984 |    5) kworker-13086  |   2.935 us    |            }
19014.957984 |    5) kworker-13086  |   3.226 us    |          }
19014.957985 |    5) kworker-13086  |               |          __const_udelay() {
19014.957985 |    5) kworker-13086  |               |            delay_halt() {
19014.957985 |    5) kworker-13086  |   2.696 us    |              delay_halt_mwaitx();
19014.957988 |    5) kworker-13086  |   2.996 us    |            }
19014.957988 |    5) kworker-13086  |   3.276 us    |          }
19014.957988 |    5) kworker-13086  |               |          __const_udelay() {
19014.957988 |    5) kworker-13086  |               |            delay_halt() {
19014.957988 |    5) kworker-13086  |   2.695 us    |              delay_halt_mwaitx();
19014.957991 |    5) kworker-13086  |   2.995 us    |            }
19014.957991 |    5) kworker-13086  |   3.276 us    |          }
19014.957991 |    5) kworker-13086  |               |          __const_udelay() {
19014.957992 |    5) kworker-13086  |               |            delay_halt() {
19014.957992 |    5) kworker-13086  |   2.635 us    |              delay_halt_mwaitx();
19014.957994 |    5) kworker-13086  |   2.936 us    |            }
19014.957995 |    5) kworker-13086  |   3.226 us    |          }
19014.957995 |    5) kworker-13086  |               |          __const_udelay() {
19014.957995 |    5) kworker-13086  |               |            delay_halt() {
19014.957995 |    5) kworker-13086  |   2.645 us    |              delay_halt_mwaitx();
19014.957998 |    5) kworker-13086  |   2.946 us    |            }
19014.957998 |    5) kworker-13086  |   3.236 us    |          }
19014.957998 |    5) kworker-13086  |               |          __const_udelay() {
19014.957998 |    5) kworker-13086  |               |            delay_halt() {
19014.957998 |    5) kworker-13086  |   2.705 us    |              delay_halt_mwaitx();
19014.958001 |    5) kworker-13086  |   2.995 us    |            }
19014.958001 |    5) kworker-13086  |   3.277 us    |          }
19014.958002 |    5) kworker-13086  |               |          __const_udelay() {
19014.958002 |    5) kworker-13086  |               |            delay_halt() {
19014.958002 |    5) kworker-13086  |   2.706 us    |              delay_halt_mwaitx();
19014.958005 |    5) kworker-13086  |   2.996 us    |            }
19014.958005 |    5) kworker-13086  |   3.286 us    |          }
19014.958005 |    5) kworker-13086  |               |          __const_udelay() {
19014.958005 |    5) kworker-13086  |               |            delay_halt() {
19014.958005 |    5) kworker-13086  |   2.645 us    |              delay_halt_mwaitx();
19014.958008 |    5) kworker-13086  |   2.945 us    |            }
19014.958008 |    5) kworker-13086  |   3.226 us    |          }
19014.958009 |    5) kworker-13086  | ! 134.332 us  |        }
19014.958009 |    5) kworker-13086  |               |        amdgpu_device_wb_free [amdgpu]() {
19014.958009 |    5) kworker-13086  |   0.130 us    |          _raw_spin_lock_irqsave();
19014.958009 |    5) kworker-13086  |   0.131 us    |          _raw_spin_unlock_irqrestore();
19014.958010 |    5) kworker-13086  |   0.691 us    |        }
19014.958010 |    5) kworker-13086  | ! 139.421 us  |      }
19014.958010 |    5) kworker-13086  | ! 139.932 us  |    }
19014.958010 |    5) kworker-13086  |               |    mes_v11_0_set_hw_resources_1 [amdgpu]() {
19014.958010 |    5) kworker-13086  |               |      mes_v11_0_submit_pkt_and_poll_completion.constprop.0 [amdgpu]() {
19014.958011 |    5) kworker-13086  |               |        amdgpu_device_wb_get [amdgpu]() {
19014.958011 |    5) kworker-13086  |   0.130 us    |          _raw_spin_lock_irqsave();
19014.958011 |    5) kworker-13086  |   0.141 us    |          _raw_spin_unlock_irqrestore();
19014.958011 |    5) kworker-13086  |   0.711 us    |        }
19014.958011 |    5) kworker-13086  |   0.131 us    |        _raw_spin_lock_irqsave();
19014.958012 |    5) kworker-13086  |   0.130 us    |        amdgpu_ring_alloc [amdgpu]();
19014.958012 |    5) kworker-13086  |   0.141 us    |        amdgpu_fence_wait_polling [amdgpu]();
19014.958012 |    5) kworker-13086  |               |        amdgpu_ring_commit [amdgpu]() {
19014.958013 |    5) kworker-13086  |               |          mes_v11_0_ring_set_wptr [amdgpu]() {
